A009;Choléra, sans précision
B75;Trichinose
B760;Ankylostomose
B761;Nécatorose
B768;Autres ankylostomiases
B769;Ankylostomiase, sans précision
B770;Ascaridiase avec complications intestinales
B778;Ascaridiase avec autres complications
B779;Ascaridiase, sans précision
B780;Anguillulose intestinale
B781;Anguillulose cutanée
B787;Anguillulose disséminée
B789;Anguillulose, sans précision
B79;Infection à Trichuris trichiuria
B80;Oxyurose
B810;Anisakiase
B811;Capillariose intestinale
B812;Trichostrongylose
B813;Angiostrongyloïdose [angiostrongylose] intestinale
B814;Helminthiases intestinales mixtes
B818;Autres helminthiases intestinales précisées
B820;Helminthiase intestinale, sans précision
B829;Parasitose intestinale, sans précision
B830;Larva migrans viscérale
B831;Gnathostomiase
B832;Angiostrongyloïdose à Parastrongylus cantonensis
B833;Syngamose
B834;Hirudiniase interne
B838;Autres helminthiases précisées
B839;Helminthiase, sans précision
B850;Pédiculose due à Pediculus humanus capitis
B851;Pédiculose due à Pediculus humanus corporis
B852;Pédiculose, sans précision
B853;Phtiriase
B854;Infestation mixte, pédiculose et phtiriase
B86;Gale
B870;Myiase cutanée
B871;Myiase des plaies cutanées
B872;Myiase oculaire
B873;Myiase rhinopharyngée
B874;Myiase auriculaire
B878;Myiase d'autres localisations
B879;Myiase, sans précision
B880;Autres acariases
B881;Tungose [infestation par puce-chique]
B882;Autres infestations par arthropodes
B883;Hirudiniase externe
B888;Autres infestations précisées
B889;Infestation, sans précision
B89;Parasitose, sans précision
B900;Séquelles de tuberculose du système nerveux central
B901;Séquelles de tuberculose génito-urinaire
B902;Séquelles de tuberculose des os et des articulations
B908;Séquelles de tuberculose d'autres organes
B909;Séquelles de tuberculose des voies respiratoires et sans précision
B91;Séquelles de poliomyélite
B92;Séquelles de lèpre
B940;Séquelles du trachome
B941;Séquelles d'encéphalite virale
B942;Séquelles d'hépatite virale
B948;Séquelles d'autres maladies infectieuses et parasitaires précisées
B949;Séquelles de maladie infectieuse ou parasitaire, sans précision
B950;Streptocoques, groupe A, cause de maladies classées dans d'autres chapitres
B951;Streptocoques, groupe B, cause de maladies classées dans d'autres chapitres
B952;Streptocoques, groupe D, cause de maladies classées dans d'autres chapitres
B953;Streptococcus pneumoniae, cause de maladies classées dans d'autres chapitres
B954;Autres streptocoques, cause de maladies classées dans d'autres chapitres
B955;Streptocoques non précisés, cause de maladies classées dans d'autres chapitres
B956;Staphylococcus aureus, cause de maladies classées dans d'autres chapitres
B957;Autres staphylocoques, cause de maladies classées dans d'autres chapitres
B958;Staphylocoque non précisé, cause de maladies classées dans d'autres chapitres
B960;Mycoplasma pneumoniae, cause de maladies classées dans d'autres chapitres
B961;Klebsiella pneumoniae [subsp.pneumoniae], cause de maladies classées dans d'autres chapitres
B962;Escherichia coli, cause de maladies classées dans d'autres chapitres
B963;Haemophilus influenzae, cause de maladies classées dans d'autres chapitres
B964;Proteus (P.mirabilis) (P.morganii), cause de maladies classées dans d'autres chapitres
B965;Pseudomonas (P.aeruginosa) (P.mallei) (P.pseudomallei), cause de maladies classées dans d'autres chapitres
B966;Bacillus fragilis, cause de maladies classées dans d'autres chapitres
B967;Clostridium perfringens, cause de maladies classées dans d'autres chapitres
B968;Autres agents bactériens précisés, cause de maladies classées dans d'autres chapitres
B970;Adénovirus, cause de maladies classées dans d'autres chapitres
B971;Entérovirus, cause de maladies classées dans d'autres chapitres
B972;Coronavirus, cause de maladies classées dans d'autres chapitres
B973;Rétrovirus, cause de maladies classées dans d'autres chapitres
B974;Virus respiratoire syncytial, cause de maladies classées dans d'autres chapitres
B975;Réovirus, cause de maladies classées dans d'autres chapitres
B976;Parvovirus, cause de maladies classées dans d'autres chapitres
B977;Papillovirus, cause de maladies classées dans d'autres chapitres
B978;Autres virus, cause de maladies classées dans d'autres chapitres
B99;Maladies infectieuses, autres et non précisées
C000;Tumeur maligne de la lèvre supérieure, (bord libre)
C001;Tumeur maligne de la lèvre inférieure, (bord libre)
C002;Tumeur maligne de la lèvre, sans précision, bord libre
C003;Tumeur maligne de la lèvre supérieure, face interne
C004;Tumeur maligne de la lèvre inférieure, face interne
C005;Tumeur maligne de la lèvre, sans précision, face interne
C006;Tumeur maligne de la commissure des lèvres
C008;Tumeur maligne à localisations contiguës de la lèvre
C009;Tumeur maligne de la lèvre, sans précision
C01;Tumeur maligne de la base de la langue
C020;Tumeur maligne de la face dorsale de la langue
C021;Tumeur maligne de la point et du bord latéral de la langue
C022;Tumeur maligne de la face antérieure de la langue
C023;Tumeur maligne des deux tiers antérieurs de la langue, sans précision
C024;Tumeur maligne d'une amygdale linguale
C028;Tumeur maligne à localisations contiguës de la langue
C029;Tumeur maligne de la langue, sans précision
C030;Tumeur maligne de la gencive supérieure
C031;Tumeur maligne de la gencive inférieure
C039;Tumeur maligne de la gencive, sans précision
C040;Tumeur maligne du plancher antérieur de la bouche
C041;Tumeur maligne du plancher latéral de la bouche
C048;Tumeur maligne à localisations contiguës du plancher de la bouche
C049;Tumeur maligne du plancher de la bouche, sans précision
C050;Tumeur maligne de la voûte palatine
C051;Tumeur maligne du voile du palais
C052;Tumeur maligne de la luette
C058;Tumeur maligne à localisations contiguës du palais
C059;Tumeur maligne du palais, sans précision
C060;Tumeur maligne de la muqueuse de la joue
C061;Tumeur maligne du vestibule de la bouche
C062;Tumeur maligne de la région rétromolaire
C068;Tumeur maligne à localisations contiguës de la bouche, parties autres et non précisées
C069;Tumeur maligne de la bouche, sans précision
C07;Tumeur maligne de la glande parotide
C080;Tumeur maligne de la glande sous-maxillaire
C081;Tumeur maligne de la glande sublinguale
C088;Tumeur maligne à localisations contiguës des glandes salivaires principales
C089;Tumeur maligne de la glande salivaire (principale), sans précision
C090;Tumeur maligne de la fosse amygdalienne
C091;Tumeur maligne du pilier de l'amygdale (antérieur) (postérieur)
C098;Tumeur maligne à localisations contiguës de l'amygdale
C099;Tumeur maligne de l'amygdale, sans précision
C100;Tumeur maligne du sillon glosso-épiglottique
C101;Tumeur maligne de la face antérieure de l'épiglotte
C102;Tumeur maligne de la paroi latérale de l'oropharynx
C103;Tumeur maligne de la paroi postérieure de l'oropharynx
C104;Tumeur maligne de la fente branchiale
C108;Tumeur maligne à localisations contiguës de l'oropharynx
C109;Tumeur maligne de l'oropharynx, sans précision
C110;Tumeur maligne de la paroi supérieure du rhinopharynx
C111;Tumeur maligne de la paroi postérieure du rhinopharynx
C112;Tumeur maligne de la paroi latérale du rhinopharynx
C113;Tumeur maligne de la paroi antérieure du rhinopharynx
C118;Tumeur maligne à localisations contiguës de rhinopharynx
C119;Tumeur maligne du rhinopharynx, sans précision
C12;Tumeur maligne du sinus piriforme
C130;Tumeur maligne de la région rétro-cricoïdienne
C131;Tumeur maligne du repli ary-épiglottique, (versant hypopharyngé)
C132;Tumeur maligne de la paroi postérieure de l'hypopharynx
C138;Tumeur maligne à localisations contiguës de l'hypopharynx
C139;Tumeur maligne de l'hypopharynx, sans précision
C140;Tumeur maligne du pharynx, sans précision
C142;Tumeur maligne de l'anneau de Waldeyer
C148;Tumeur maligne à localisations contiguës de la lèvre, de la cavité buccale et du pharynx
C150;Tumeur maligne de l'osophage cervical
C151;Tumeur maligne de l'osophage thoracique
C152;Tumeur maligne de l'osophage abdominal
C153;Tumeur maligne du tiers supérieur de l'osophage
C154;Tumeur maligne du tiers moyen de l'osophage
C155;Tumeur maligne du tiers inférieur de l'osophage
C158;Tumeur maligne à localisations contiguës de l'osophage
C159;Tumeur maligne de l'osophage, sans précision
C160;Tumeur maligne du cardia
C161;Tumeur maligne du fundus
C162;Tumeur maligne du corps de l'estomac
C163;Tumeur maligne de l'antre pylorique
C164;Tumeur maligne du pylore
C165;Tumeur maligne de la petite courbure de l'estomac, sans précision
C166;Tumeur maligne de la grande courbure de l'estomac, sans précision
C168;Tumeur maligne à localisations contiguës de l'estomac
C169;Tumeur maligne de l'estomac, sans précision
C170;Tumeur maligne du duodénum
C171;Tumeur maligne du jéjunum
C172;Tumeur maligne de l'iléon
C173;Tumeur maligne du diverticule de Meckel
C178;Tumeur maligne à localisations contiguës de l'intestin grêle
C179;Tumeur maligne de l'intestin grêle, sans précision
C180;Tumeur maligne du cæcum
C181;Tumeur maligne de l'appendice
C182;Tumeur maligne du côlon ascendant
C183;Tumeur maligne de l'angle droit du côlon
C184;Tumeur maligne du côlon transverse
C185;Tumeur maligne de l'angle gauche du côlon
C186;Tumeur maligne du côlon descendant
C187;Tumeur maligne du côlon sigmoïde
C188;Tumeur maligne à localisations contiguës du côlon
C189;Tumeur maligne du côlon, sans précision
C19;Tumeur maligne de la jonction recto-sigmoïdienne
C20;Tumeur maligne du rectum
C210;Tumeur maligne de l'anus, sans précision
C211;Tumeur maligne du canal anal
C212;Tumeur maligne de la zone cloacale
C218;Tumeur maligne à localisations contiguës du rectum, de l'anus et du canal anal
C220;Carcinome hépatocellulaire
C221;Carcinome du canal biliaire intrahépatique
C222;Hépatoblastome
C223;Angiosarcome du foie
C224;Autres sarcomes du foie
C227;Autres carcinomes du foie précisés
C229;Tumeur maligne du foie, sans précision
C23;Tumeur maligne de la vésicule biliaire
C240;Tumeur maligne du canal biliaire extra-hépatique
C241;Tumeur maligne de l'ampoule de Vater
C248;Tumeur maligne à localisations contiguës des voies biliaires
C249;Tumeur maligne des voies biliaires, sans précision
C250;Tumeur maligne de la tête du pancréas
C251;Tumeur maligne du corps du pancréas
C252;Tumeur maligne de la queue du pancréas
C253;Tumeur maligne du canal pancréatique
C254;Tumeur maligne du pancréas endocrine
C257;Tumeur maligne d'autres parties du pancréas
C258;Tumeur maligne à localisations contiguës du pancréas
C259;Tumeur maligne du pancréas, sans précision
C260;Tumeur maligne du tractus intestinal, (partie non précisée)
C261;Tumeur maligne de la rate
C268;Tumeur maligne à localisations contiguës de l'appareil digestif
C269;Tumeur maligne de sièges mal définis de l'appareil digestif
C300;Tumeur maligne des fosses nasales
C301;Tumeur maligne de l'oreille moyenne
C310;Tumeur maligne du sinus maxillaire
C311;Tumeur maligne du sinus ethmoïdal
C312;Tumeur maligne du sinus frontal
C313;Tumeur maligne du sinus sphénoïdal
C318;Tumeur maligne à localisations contiguës des sinus de la face
C319;Tumeur maligne des sinus de la face, sans précision
C320;Tumeur maligne de la glotte
C321;Tumeur maligne de l'étage sus-glottique
C322;Tumeur maligne de l'étage sous-glottique
C323;Tumeur maligne du cartilage laryngé
C328;Tumeur maligne à localisations contiguës du larynx
C329;Tumeur maligne du larynx, sans précision
C33;Tumeur maligne de la trachée
C340;Tumeur maligne de la bronche souche
C341;Tumeur maligne du lobe supérieur, bronches ou poumon
C342;Tumeur maligne du lobe moyen, bronches ou poumon
C343;Tumeur maligne du lobe inférieur, bronches ou poumon
C348;Tumeur maligne à localisations contiguës des bronches et du poumon
C349;Tumeur maligne de bronche ou du poumon, sans précision
C37;Tumeur maligne du thymus
C380;Tumeur maligne du cour
C381;Tumeur maligne du médiastin antérieur
C382;Tumeur maligne du médiastin postérieur
C383;Tumeur maligne du médiastin, partie non précisée
C384;Tumeur maligne de la plèvre
C388;Tumeur maligne à localisations contiguës du cour, du médiastin et de la plèvre
C390;Tumeur maligne des voies respiratoires supérieures, partie non précisée
C398;Tumeur maligne à localisations contiguës des organes respiratoires et intrathoraciques
C399;Tumeur maligne de sièges mal définis de l'appareil respiratoire
C400;Tumeur maligne de l'omoplate et des os longs du membre supérieur
C401;Tumeur maligne des os courts du membre supérieur
C402;Tumeur maligne des os longs du membre inférieur
C403;Tumeur maligne des os courts du membre inférieur
C408;Tumeur maligne à localisations contiguës des os et du cartilage articulaire des membres
C409;Tumeur maligne des os et du cartilage articulaire d'un membre, sans précision
C410;Tumeur maligne des os du crâne et de la face
C411;Tumeur maligne de la mandibule
C412;Tumeur maligne du rachis
C413;Tumeur maligne des côtes, du sternum et de la clavicule
C414;Tumeur maligne des os du pelvis, du sacrum et du coccyx
C418;Tumeur maligne à localisations contiguës des os et du cartilage articulaire
C419;Tumeur maligne des os et du cartilage articulaire, sans précision
C430;Mélanome malin de la lèvre
C431;Mélanome malin de la paupière, y compris le canthus
C432;Mélanome malin de l'oreille et du conduit auditif externe
C433;Mélanome malin de la face, parties autres et non précisées
C434;Mélanome malin du cuir chevelu et du cou
C435;Mélanome malin du tronc
C436;Mélanome malin du membre supérieur, y compris l'épaule
C437;Mélanome malin du membre inférieur, y compris la hanche
C438;Lésion à localisations contiguës d'un mélanome malin de la peau
C439;Mélanome (malin) de la peau, sans précision
C440;Tumeur maligne de la face cutanée de la lèvre
C441;Tumeur maligne de la peau de la paupière, y compris le canthus
C442;Tumeur maligne de la peau de l'oreille et du conduit auditif externe
C443;Tumeur maligne de la peau de la face, parties autres et non précisées
